Seat,Candidate,Party,Amount_Raised,Percent_Raised,Amount_Spent,Percent_Spent,Percent_Votes,Votes,Winner,Incumbent
FL12,Gus Bilirakis ,gop,"$1,604,137",97.40111807,"$1,548,634",97.87988456,62.9,"284,941",Y,Y
FL12,Kim Walker ,dem,"$42,802",2.598881926,"$33,544",2.120115436,37.1,"168,194",N,N
FL13,Charlie Crist ,dem,"$2,720,646",45.1665203,"$3,980,695",54.95972556,53,"215,405",Y,Y
FL13,Anna Paulina Luna ,gop,"$3,302,944",54.8334797,"$3,262,236",45.04027444,47,"190,713",N,N
FL14,Kathy Castor ,dem,"$884,651",78.51037678,"$1,201,653",83.2838707,60.3,"224,240",Y,Y
FL14,Christine Quinn ,gop,"$242,144",21.48962322,"$241,187",16.7161293,39.7,"147,896",N,N
FL15,Scott Franklin ,gop,"$1,663,898",41.62918184,"$1,638,417",41.59882131,55.4,"216,374",Y,N
FL15,Alan Cohn ,dem,"$2,333,053",58.37081816,"$2,300,197",58.40117869,44.6,"174,297",N,N
FL16,Vernon Buchanan ,gop,"$3,094,611",47.56158232,"$3,100,766",47.640979,55.5,"269,001",Y,Y
FL16,Margaret Good ,dem,"$3,411,924",52.43841768,"$3,407,845",52.359021,44.5,"215,683",N,N
FL17,Greg Steube ,gop,"$759,908",90.10172056,"$621,200",88.81352734,64.6,"266,514",Y,Y
FL17,Allen Ellison ,dem,"$83,481",9.898279442,"$78,243",11.18647266,34.1,"140,487",N,N
FL18,Brian Mast ,gop,"$6,128,177",78.88951539,"$5,301,307",76.45333321,56.3,"253,286",Y,Y
FL18,Pam Keith ,dem,"$1,639,873",21.11048461,"$1,632,736",23.54666679,41.5,"186,674",N,N
FL19,Byron Donalds ,gop,"$3,219,579",93.74695901,"$2,738,685",93.08558639,61.3,"272,440",Y,N
FL19,Cindy Banyai ,dem,"$214,750",6.253040987,"$203,430",6.914413611,38.7,"172,146",N,N
FL20,Alcee Hastings ,dem,"$607,649",95.45164655,"$543,316",95.17599947,78.7,"253,661",Y,Y
FL20,Greg Musselwhite ,gop,"$28,955",4.54835345,"$27,538",4.824000533,21.3,"68,748",N,N
FL21,Lois Frankel ,dem,"$1,534,882",40.32280691,"$1,309,786",36.89044424,59,"237,925",Y,Y
FL21,Laura Loomer ,gop,"$2,271,604",59.67719309,"$2,240,689",63.10955576,39.1,"157,612",N,N
FL22,Ted Deutch ,dem,"$1,364,438",83.05290671,"$1,265,494",81.96682449,58.6,"235,764",Y,Y
FL22,Jim Pruden ,gop,"$278,416",16.94709329,"$278,416",18.03317551,41.4,"166,553",N,N
FL23,Debbie Wasserman Schultz ,dem,"$2,191,922",70.44580735,"$1,979,903",68.66404436,58.2,"221,239",Y,Y
FL23,Carla Spalding ,gop,"$919,579",29.55419265,"$903,561",31.33595564,41.8,"158,874",N,N
FL24,Frederica Wilson ,dem,"$412,592",92.18593947,"$321,019",90.19211751,75.6,"218,825",Y,Y
FL24,Lavern Spicer ,gop,"$34,973",7.814060528,"$34,909",9.807882493,20.4,"59,084",N,N
