Seat,Total_Raised_Mill,Total_Spent_Mill,Margin,Median_Household_Income
TN01,2.004095,2.004095,52.2,47478
TN02,1.695281,1.695281,36.5,57777
TN03,0.459171,0.459171,36.8,52491
TN07,1.142678,1.142678,42.6,62720
TN08,1.015168,1.015168,39,60152
TN09,0.557843,0.557843,57.3,43708
TX01,1.314852,1.314852,45.2,54396
TX02,21.421616,21.421616,12.8,80922
TX03,4.460221,4.460221,12.2,95619
TX05,1.601095,1.601095,26.1,57026
TX06,1.585261,1.585261,8.8,71161
TX07,13.546258,13.546258,3.3,73730
TX08,3.205428,3.205428,47,78615
TX09,0.574521,0.574521,53.9,49147
TX10,6.740695,6.740695,7.2,80528
TX11,2.119275,2.119275,61.4,64070
TX12,3.37029,3.37029,30.7,73000
TX13,1.759952,1.759952,60.9,54004
TX14,1.165593,1.165593,23.2,67459
TX16,1.241364,1.241364,29.4,49013
TX17,1.860733,1.860733,15,58929
TX18,1.109692,1.109692,49.8,48625
TX19,1.993506,1.993506,51.9,55278
TX20,0.927864,0.927864,31.6,54908
TX21,14.881236,14.881236,6.6,73472
TX22,7.417546,7.417546,6.9,101658
TX23,9.606548,9.606548,4,59074
TX24,8.217473,8.217473,1.3,79667
TX25,5.523586,5.523586,13.8,79975
TX26,2.177328,2.177328,23.3,96307
TX27,1.141844,1.141844,28.2,55987
TX28,3.678202,3.678202,19.3,53597
TX29,0.758382,0.758382,43.7,48300
TX31,3.249759,3.249759,9.2,75813
TX32,11.527003,11.527003,6,76464
TX33,1.639031,1.639031,41.6,45997
TX34,1.061626,1.061626,13.6,42092
TX35,0.439246,0.439246,35.5,53898
TX36,1.309463,1.309463,49.3,62206
UT01,0.856919,0.856919,39.2,73964
UT02,1.119334,1.119334,22.4,69852
UT03,0.877465,0.877465,42,78931
UT04,10.604737,10.604737,1,80918
VA01,3.699483,3.699483,16.4,90181
VA02,8.833884,8.833884,5.7,74704
VA03,0.997499,0.997499,37,56455
VA04,1.487217,1.487217,23.4,60407
VA05,7.074454,7.074454,5.2,57615
VA06,0.727133,0.727133,29.4,59939
VA07,11.452321,11.452321,1.8,81364
VA08,2.167941,2.167941,52,111627
VA10,3.185395,3.185395,13.2,132226
VA11,2.080102,2.080102,43.2,118099
WA01,1.959441,1.959441,17.2,106190
WA02,1.268811,1.268811,26.4,75095
WA03,8.682833,8.682833,13,70936
WA04,1.045401,1.045401,32.6,59872
WA05,3.542208,3.542208,22.8,57837
WA06,2.676219,2.676219,18.8,72169
WA07,1.534329,1.534329,66.4,100991
WA08,4.616667,4.616667,3.6,95968
WA09,0.949038,0.949038,48.6,90353
WA10,3.258311,3.258311,16.2,75114
WV01,1.167745,1.167745,38,51480
WV02,1.505568,1.505568,26.2,52166
WI01,3.678132,3.678132,18.8,68695
WI02,1.048605,1.048605,39.4,72036
WI03,6.384042,6.384042,2.6,59426
WI05,1.340205,1.340205,20.2,77386
WI06,1.982447,1.982447,18.6,63251
WI07,3.74743,3.74743,21.6,60706
WI08,3.241717,3.241717,28.4,65346
WY01,3.192402,3.192402,44.1,20474
