Seat,Candidate,Raised,In_Distr_Perc,In_Distr_Raised_000,Vote_Share,Winner,Incumbent,In_Distr_Prop_Versus_Opponent
FL13,Anna Paulina Luna ,"$3,302,944",21.22,700.88,47,N,N,62.43
FL14,Kathy Castor ,"$884,651",47.99,424.54,60.3,Y,Y,79.62
FL14,Christine Quinn ,"$242,144",44.89,108.7,39.7,N,N,20.38
FL15,Scott Franklin ,"$1,663,898",46.9,780.37,55.4,Y,N,94.38
FL15,Alan Cohn ,"$2,333,053",1.99,46.43,44.6,N,N,5.62
FL16,Vernon Buchanan ,"$3,094,611",49.02,1516.98,55.5,Y,Y,41.89
FL16,Margaret Good ,"$3,411,924",61.67,2104.13,44.5,N,N,58.11
FL17,Greg Steube ,"$759,908",11.13,84.58,64.6,Y,Y,66.39
FL17,Allen Ellison ,"$83,481",51.29,42.82,34.1,N,N,33.61
FL18,Brian Mast ,"$6,128,177",20.73,1270.37,56.3,Y,Y,77.91
FL18,Pam Keith ,"$1,639,873",21.96,360.12,41.5,N,N,22.09
FL22,Ted Deutch ,"$1,364,438",24.36,332.38,58.6,Y,Y,70.08
FL22,Jim Pruden ,"$278,416",50.96,141.88,41.4,N,N,29.92
FL23,Debbie Wasserman Schultz ,"$2,191,922",12.23,268.07,58.2,Y,Y,81.81
FL23,Carla Spalding ,"$919,579",6.48,59.59,41.8,N,N,18.19
FL24,Frederica Wilson ,"$412,592",19.62,80.95,75.6,Y,Y,82.92
FL24,Lavern Spicer ,"$34,973",47.66,16.67,20.4,N,N,17.08
FL26,Carlos Gimenez ,"$2,226,559",7.19,160.09,51.7,Y,N,19.24
FL26,Debbie Mucarsel-Powell ,"$6,793,521",9.89,671.88,48.3,N,Y,80.76
FL27,Maria Salazar ,"$3,654,190",42.66,1558.88,51.4,Y,N,53.72
FL27,Donna Shalala ,"$3,842,907",34.95,1343.1,48.6,N,Y,46.28
GA01,Buddy Carter ,"$2,315,487",65.26,1511.09,58.3,Y,Y,97.71
GA01,Joyce Griggs ,"$130,043",27.21,35.38,41.7,N,N,2.29
GA02,Sanford Bishop ,"$1,540,683",26.18,403.35,59.1,Y,Y,76.84
GA02,Don Cole ,"$164,274",73.99,121.55,40.9,N,N,23.16
GA05,Nikema Williams ,"$553,964",48.79,270.28,85.1,Y,N,88.62
GA05,Angela Stanton-King ,"$305,279",11.37,34.71,14.9,N,N,11.38
GA06,Lucy McBath ,"$8,507,298",9.56,813.3,54.6,Y,Y,48.04
GA06,Karen Handel ,"$3,026,243",29.07,879.73,45.4,N,N,51.96
GA07,Carolyn Bourdeaux ,"$5,133,244",3,154,51.4,Y,N,28.26
GA07,Richard McCormick ,"$2,595,446",15.06,390.87,48.6,N,N,71.74
GA08,Austin Scott ,"$821,745",68.37,561.83,64.5,Y,Y,99.69
GA08,Lindsay Holliday ,"$7,480",23.7,1.77,35.5,N,N,0.31
GA09,Andrew Clyde ,"$1,569,425",61.92,971.79,78.6,Y,N,98.06
GA09,Devin Pandy ,"$84,272",22.82,19.23,21.4,N,N,1.94
GA10,Jody Hice ,"$595,947",64.81,386.23,62.3,Y,Y,98.03
GA10,Tabitha Johnson-Green ,"$14,808",52.55,7.78,37.7,N,N,1.97
GA11,Barry Loudermilk ,"$877,767",53.63,470.75,60.4,Y,Y,86.7
GA11,Dana Barrett ,"$404,625",17.85,72.23,39.6,N,N,13.3
GA12,Richard W Allen ,"$1,228,970",70.55,867.04,58.4,Y,Y,96.35
GA12,Liz Johnson ,"$72,061",45.58,32.85,41.6,N,N,3.65
GA13,David Scott ,"$1,209,614",0.8,9.68,77.4,Y,Y,47.87
GA13,Becky Hites ,"$63,509",16.59,10.54,22.6,N,N,52.13
HI01,Ed Case ,"$508,249",46.89,238.32,72,N,Y,97.17
HI01,Ron Curtis ,"$12,538",55.25,6.93,28,N,N,2.83
HI02,Kai Kahele ,"$1,235,523",31.68,391.41,63,Y,N,88.71
HI02,Joe Akana ,"$54,534",91.37,49.83,30.9,N,N,11.29
ID01,Russ Fulcher ,"$575,485",32.79,188.7,67.8,Y,Y,73.29
ID01,Rudy Soto ,"$302,902",22.7,68.76,28.6,N,N,26.71
ID02,Mike Simpson ,"$1,008,847",21.14,213.27,64.1,Y,Y,76.41
ID02,Aaron Swisher ,"$70,674",93.15,65.83,31.7,N,N,23.59
IL03,Marie Newman ,"$2,802,093",4.5,126.09,56.4,Y,N,72.93
IL03,Mike Fricilone ,"$128,458",36.43,46.8,43.6,N,N,27.07
IL04,Jesus Garcia ,"$822,846",3.35,27.57,84.1,Y,Y,100
IL04,Jesus Solorio Jr ,"$2,065",0,0,15.9,N,N,0
IL06,Sean Casten ,"$5,582,179",28.47,1589.25,52.8,Y,Y,62.7
IL06,Jeanne Ives ,"$3,157,771",29.94,945.44,45.4,N,N,37.3
IL10,Brad Schneider ,"$3,459,512",26.82,927.84,63.9,Y,Y,100
IL10,Valerie Ramirez Mukherjee ,"$130,225",0,0,36.1,N,N,0
IL11,Bill Foster ,"$2,381,354",3.25,77.39,63.3,Y,Y,89.45
IL11,Rick Laib ,"$20,343",44.89,9.13,36.7,N,N,10.55
IL12,Mike Bost ,"$1,918,041",63.96,1226.78,60.4,Y,Y,90.63
IL12,Ray Lenzi ,"$161,324",78.61,126.82,39.6,N,N,9.37
IL13,Rodney Davis ,"$4,943,459",32.99,1630.85,54.5,Y,Y,58.95
IL13,Betsy Dirksen Londrigan ,"$5,297,007",21.44,1135.68,45.5,N,N,41.05
IL14,Lauren A Underwood ,"$7,803,579",12.48,973.89,50.7,Y,Y,74.85
IL14,Jim Oberweis ,"$2,438,857",13.42,327.29,49.3,N,N,25.15
IL15,Mary Miller ,"$689,057",50.4,347.28,73.4,Y,N,89.82
IL15,Erika Weaver ,"$58,689",67.07,39.36,26.6,N,N,10.18
IL16,Adam Kinzinger ,"$2,105,736",14.57,306.81,64.7,Y,Y,72.62
IL16,Dani Brzozowski ,"$459,344",25.18,115.66,35.3,N,N,27.38
IL17,Cheri Bustos ,"$4,975,192",12.08,601,52,Y,Y,48
IL17,Esther Joy King ,"$2,032,878",32.03,651.13,48,N,N,52
IN02,Jackie Walorski ,"$2,383,467",57.43,1368.83,61.5,Y,Y,67.37
IN02,Pat Hackett ,"$881,888",75.18,663,38.5,N,N,32.63
IN03,Jim Banks ,"$1,202,509",67.01,805.8,67.8,Y,Y,93.7
IN03,Chip Coldiron ,"$94,056",57.62,54.2,32.2,N,N,6.3
IN04,Jim Baird ,"$327,727",28.43,93.17,66.6,Y,Y,74.73
IN04,Joe Mackey ,"$44,585",70.67,31.51,33.4,N,N,25.27
IN05,Victoria Spartz ,"$3,119,328",47.39,1478.25,50,Y,N,54.78
IN05,Christina Hale ,"$4,010,368",30.43,1220.35,45.9,N,N,45.22
IN06,Greg Pence ,"$3,114,448",16.88,525.72,68.7,Y,Y,90.81
IN06,Jeannine Lee Lake ,"$143,089",37.2,53.23,27.8,N,N,9.19
IN07,Andre Carson ,"$1,011,635",25.25,255.44,62.4,Y,Y,87.6
IN07,Susan Marie Smith ,"$62,905",57.5,36.17,37.6,N,N,12.4
IN08,Larry Bucshon ,"$1,051,336",55.55,584.02,66.9,Y,Y,93.15
IN08,Thomasina Marsili ,"$68,734",62.52,42.97,29.8,N,N,6.85
IN09,Trey Hollingsworth ,"$1,166,754",27.42,319.92,60.9,Y,Y,73.85
IN09,Andy Ruff ,"$148,263",76.39,113.26,34.8,N,N,26.15
IA01,Ashley Hinson ,"$5,175,883",32.55,1684.75,51.3,Y,N,74.27
IA01,Abby Finkenauer ,"$5,901,441",9.89,583.65,48.7,N,Y,25.73
IA02,Mariannette Miller-Meeks ,"$2,174,194",31.65,688.13,50,Y,N,39.79
