Name,Race,In-District,Out-of-District
Wes Lambert (R),Alabama District 01,83.95%,16.05%
Rick Collins (D),Alabama District 01,100.00%,0.00%
Kiani A. Gardner (D),Alabama District 01,51.75%,48.25%
John Castorani (R),Alabama District 01,0.00%,100.00%
Jerry Carl (R),Alabama District 01,88.65%,11.35%
James Averhart (D),Alabama District 01,60.48%,39.52%
Chris Pringle (R),Alabama District 01,74.26%,25.74%
Bill Hightower (R),Alabama District 01,57.51%,42.49%
Will Dismukes (R),Alabama District 02,68.09%,31.91%
Troy King (R),Alabama District 02,26.08%,73.92%
Thomas Brown Jr. (R),Alabama District 02,100.00%,0.00%
Terri Hasdorff (R),Alabama District 02,0.42%,99.58%
Phyllis Harvey-Hall (D),Alabama District 02,48.84%,51.16%
Jessica Taylor (R),Alabama District 02,22.12%,77.88%
Jeff Coleman (R),Alabama District 02,74.45%,25.55%
Bob Rogers (R),Alabama District 02,100.00%,0.00%
Barry Moore (R),Alabama District 02,42.78%,57.22%
Mike D Rogers (R),Alabama District 03,29.89%,70.11%
Mallory Hagan (D),Alabama District 03,53.41%,46.59%
Adia Winfrey (D),Alabama District 03,36.26%,63.74%
Robert B Aderholt (R),Alabama District 04,24.22%,75.78%
Rick Neighbors (D),Alabama District 04,54.53%,45.47%
Mo Brooks (R),Alabama District 05,81.99%,18.01%
Chris Lewis (R),Alabama District 05,65.75%,34.25%
Gary Palmer (R),Alabama District 06,44.59%,55.41%
Terri A Sewell (D),Alabama District 07,4.10%,95.90%
Wendy Rogers (R),Arizona District 01,10.17%,89.83%
Tom O'Halleran (D),Arizona District 01,15.03%,84.97%
Tiffany Shedd (R),Arizona District 01,15.01%,84.99%
Nolan Reidhead (R),Arizona District 01,59.14%,40.86%
John Moore (R),Arizona District 01,0.00%,100.00%
Eva Putzova (D),Arizona District 01,24.24%,75.76%
Doyel Shamley (R),Arizona District 01,87.23%,12.77%
Chris Taylor (R),Arizona District 01,95.21%,4.79%
Barbara McGuire (D),Arizona District 01,68.75%,31.25%
Shay Stautz (R),Arizona District 02,73.53%,26.47%
Peter Quilter (D),Arizona District 02,0.00%,100.00%
Noran Eric Ruden (R),Arizona District 02,74.75%,25.25%
Justine Wadsack (R),Arizona District 02,63.11%,36.89%
Joseph Morgan (R),Arizona District 02,81.70%,18.30%
Brandon Martin (R),Arizona District 02,56.03%,43.97%
Ann Kirkpatrick (D),Arizona District 02,21.43%,78.57%
Steve Ronnebeck (R),Arizona District 03,0.00%,100.00%
Raul M Grijalva (D),Arizona District 03,8.31%,91.69%
Daniel Wood (R),Arizona District 03,52.38%,47.62%
Stu Starky (D),Arizona District 04,49.73%,50.27%
Paul Gosar (R),Arizona District 04,28.43%,71.57%
Delina DiSanto (D),Arizona District 04,52.97%,47.03%
Anne Marie Ward (R),Arizona District 04,85.54%,14.46%
Nick Murray (D),Arizona District 05,6.76%,93.24%
Jonathan Ireland (D),Arizona District 05,76.29%,23.71%
Joe Vess (R),Arizona District 05,0.00%,100.00%
Joan Greene (D),Arizona District 05,46.06%,53.94%
Andy Biggs (R),Arizona District 05,16.50%,83.50%
Tom Lewellen (I),Arizona District 06,100.00%,0.00%
Stephanie Rimmer (D),Arizona District 06,32.75%,67.25%
Karl Gentles (D),Arizona District 06,19.69%,80.31%
Hiral Tipirneni (D),Arizona District 06,16.31%,83.69%
David Schweikert (R),Arizona District 06,47.35%,52.65%
Anita Malik (D),Arizona District 06,78.90%,21.10%
Ruben Gallego (D),Arizona District 07,7.15%,92.85%
Josh Barnett (R),Arizona District 07,23.02%,76.98%
Chris Hindle (R),Arizona District 07,0.00%,100.00%
Michael Muscato (D),Arizona District 08,41.05%,58.95%
Debbie Lesko (R),Arizona District 08,16.03%,83.97%
Bob Olsen (D),Arizona District 08,39.72%,60.28%
Bob Musselwhite (D),Arizona District 08,28.65%,71.35%
Talia Fuentes (D),Arizona District 09,7.74%,92.26%
Nicholas Tutora (R),Arizona District 09,58.33%,41.67%
Greg Stanton (D),Arizona District 09,22.20%,77.80%
Dave Giles (R),Arizona District 09,33.07%,66.93%
Rick Crawford (R),Arkansas District 01,79.65%,20.35%
Joyce Elliott (D),Arkansas District 02,49.40%,50.60%
French Hill (R),Arkansas District 02,57.93%,42.07%
Steve Womack (R),Arkansas District 03,56.39%,43.61%
Celeste Williams (D),Arkansas District 03,77.82%,22.18%
William Hanson (D),Arkansas District 04,73.30%,26.70%
Bruce Westerman (R),Arkansas District 04,44.04%,55.96%
Doug LaMalfa (R),California District 01,44.08%,55.92%
Audrey Denney (D),California District 01,72.60%,27.40%
Rachel Moniz (D),California District 02,54.90%,45.10%
Jared Huffman (D),California District 02,55.96%,44.04%
Dale Mensing (R),California District 02,0.00%,100.00%
Tamika Hamilton (R),California District 03,59.41%,40.59%
Sean Feucht (R),California District 03,1.89%,98.11%
John Garamendi (D),California District 03,20.19%,79.81%
Tom McClintock (R),California District 04,27.39%,72.61%
Sean Frame (D),California District 04,52.27%,47.73%
Julianne Benzel (R),California District 04,100.00%,0.00%
Jessica Morse (D),California District 04,31.97%,68.03%
Brynne Kennedy (D),California District 04,37.82%,62.18%
Mike Thompson (D),California District 05,56.71%,43.29%
John Tyler (D),California District 05,9.68%,90.32%
Jason Kishineff (3),California District 05,47.49%,52.51%
Doris Matsui (D),California District 06,29.33%,70.67%
Christine Bish (R),California District 06,3.28%,96.72%
Benjamin Emard (D),California District 06,23.27%,76.73%
Jon Ivy (R),California District 07,0.00%,100.00%
Jeff Burdick (D),California District 07,72.71%,27.29%
Buzz Patterson (R),California District 07,13.65%,86.35%
Ami Bera (D),California District 07,28.76%,71.24%
Tim Donnelly (R),California District 08,21.50%,78.50%
Paul Cook (R),California District 08,10.65%,89.35%
Jeremy Staat (R),California District 08,0.00%,100.00%
Jay Obernolte (R),California District 08,41.55%,58.45%
James Ellars (D),California District 08,1.92%,98.08%
Chris Bubser (D),California District 08,12.20%,87.80%
Blanca Gomez (D),California District 08,27.00%,73.00%
William Martinek (R),California District 09,0.00%,0.00%
Tony Amador (R),California District 09,72.11%,27.89%
Marla Livengood (R),California District 09,100.00%,0.00%
Jerry McNerney (D),California District 09,12.58%,87.42%
Alexis Medina (D),California District 09,11.30%,88.70%
Ted Howze (R),California District 10,40.96%,59.04%
Ryan Blevins (D),California District 10,9.70%,90.30%
Mike Barkley (D),California District 10,40.00%,60.00%
Marla Livengood (R),California District 10,17.92%,82.08%
Josh Harder (D),California District 10,9.89%,90.11%
Jeff Denham (R),California District 10,0.00%,100.00%
Charles Dossett (R),California District 10,56.27%,43.73%
Bob Elliott (R),California District 10,51.08%,48.92%
Nisha Sharma (R),California District 11,10.61%,89.39%
Mark Desaulnier (D),California District 11,75.52%,24.48%
Tom Gallagher (D),California District 12,43.12%,56.88%
Stephen Jaffe (D),California District 12,0.00%,100.00%
Shahid Buttar (D),California District 12,13.50%,86.50%
Nancy Pelosi (D),California District 12,5.82%,94.18%
John Dennis (R),California District 12,13.67%,86.33%
Deanna Lorraine (R),California District 12,1.32%,98.68%
Agatha Bacelar (I),California District 12,40.38%,59.62%
Nikka Piterman (R),California District 13,57.14%,42.86%
Barbara Lee (D),California District 13,48.17%,51.83%
Jackie Speier (D),California District 14,58.38%,41.62%
Samantha Campbell (D),California District 15,43.75%,56.25%
S Joseph Simitian (D),California District 15,0.00%,100.00%
Eric Swalwell (D),California District 15,11.18%,88.82%
Bob Wieckowski (D),California District 15,0.00%,100.00%
Austin Intal (D),California District 15,98.04%,1.96%
Alison Hayden (R),California District 15,36.71%,63.29%
Aisha Wahab (D),California District 15,64.54%,35.46%
Kim Williams (D),California District 16,43.52%,56.48%
Kevin Cookingham (R),California District 16,16.97%,83.03%
Jim Costa (D),California District 16,18.50%,81.50%
Esmeralda Soria (D),California District 16,19.05%,80.95%
Elizabeth Heng (U),California District 16,0.00%,0.00%
Ro Khanna (D),California District 17,3.74%,96.26%
Ritesh Tandon (R),California District 17,25.85%,74.15%
Rishi Kumar (D),California District 18,63.34%,36.66%
Anna Eshoo (D),California District 18,48.67%,51.33%
Zoe Lofgren (D),California District 19,10.18%,89.82%
Justin Aguilera (R),California District 19,10.00%,90.00%
Ivan Torres (D),California District 19,45.36%,54.64%
Hannah James (D),California District 19,0.00%,100.00%
Jimmy Panetta (D),California District 20,61.27%,38.73%
Jeff Gorman (R),California District 20,89.80%,10.20%
Adam Scow (D),California District 20,62.73%,37.27%
TJ Cox (D),California District 21,0.86%,99.14%
Rocky De La Fuente (R),California District 21,0.00%,100.00%
Nicole Parra (D),California District 21,0.00%,100.00%
David Valadao (R),California District 21,31.01%,68.99%
Ricardo Franco (D),California District 22,100.00%,0.00%
Phil Arballo (D),California District 22,3.26%,96.74%
Eric Garcia (I),California District 22,0.00%,100.00%
Devin Nunes (R),California District 22,2.93%,97.07%
Dary Rezvani (D),California District 22,5.11%,94.89%
Bobby Bliatout (D),California District 22,16.74%,83.26%
Mary Helen Barro (D),California District 23,100.00%,0.00%
Kim Mangone (D),California District 23,3.78%,96.22%
Kevin McCarthy (R),California District 23,1.42%,98.58%
Salud Carbajal (D),California District 24,85.66%,14.34%
Andy Caldwell (R),California District 24,96.63%,3.37%
Suzette Valladares (R),California District 25,29.27%,70.73%
Steve Knight (R),California District 25,20.73%,79.27%
Robert Cooper (D),California District 25,21.93%,78.07%
Mike Garcia (R),California District 25,10.70%,89.30%
Mark Cripe (R),California District 25,0.00%,100.00%
Katie Hill (D),California District 25,6.05%,93.95%
Getro Elize (D),California District 25,1.90%,98.10%
George Papadopoulos (R),California District 25,0.38%,99.62%
David Lozano (R),California District 25,0.00%,100.00%
Courtney Lackey (R),California District 25,8.06%,91.94%
Christy Smith (D),California District 25,8.38%,91.62%
Cenk Uygur (D),California District 25,1.09%,98.91%
Anibal Valdez-Ortega (D),California District 25,0.00%,100.00%
Angela Underwood Jacobs (R),California District 25,15.86%,84.14%
Ronda Kennedy (R),California District 26,35.37%,64.63%
Robert Salas (D),California District 26,0.00%,0.00%
Julia Brownley (D),California District 26,36.27%,63.73%
Judy Chu (D),California District 27,37.78%,62.22%
Johnny Nalbandian (R),California District 27,52.33%,47.67%
Maebe A. Girl (D),California District 28,18.99%,81.01%
Jennifer Barbosa (I),California District 28,4.75%,95.25%
Eric Early (R),California District 28,6.71%,93.29%
Akinyemi Agbede (D),California District 28,1.12%,98.88%
Adam Schiff (D),California District 28,3.56%,96.44%
Tony Cardenas (D),California District 29,1.49%,98.51%
Michael Guzik (D),California District 29,0.00%,100.00%
Angelica Duenas (3),California District 29,16.92%,83.08%
Paula Kahn (D),California District 30,3.49%,96.51%
CJ Berina (D),California District 30,33.58%,66.42%
Brian Carroll (D),California District 30,0.87%,99.13%
Brad Sherman (D),California District 30,16.83%,83.17%
Aarika Samone Rhodes (D),California District 30,8.57%,91.43%
Pete Aguilar (D),California District 31,5.16%,94.84%
Agnes Gibboney (R),California District 31,13.61%,86.39%
Raul Ali Madrigal (D),California District 32,0.00%,100.00%
Meshal 'Kash' Kashifalghita (D),California District 32,1.66%,98.34%
Joshua Scott (R),California District 32,26.42%,73.58%
Grace Napolitano (D),California District 32,2.52%,97.48%
Emanuel Gonzales (D),California District 32,84.50%,15.50%
Andre Quintero (D),California District 32,0.00%,100.00%
Ted Lieu (D),California District 33,42.11%,57.89%
Sarah Liew (R),California District 33,0.00%,100.00%
Kenneth Wright (R),California District 33,36.21%,63.79%
James Bradley (R),California District 33,59.77%,40.23%
Brandon Fricke (3),California District 33,0.00%,100.00%
Sandra Mendoza (D),California District 34,0.00%,100.00%
Keanakay Scott (D),California District 34,23.10%,76.90%
Joanne Wright (R),California District 34,0.00%,100.00%
Jimmy Gomez (D),California District 34,12.26%,87.74%
Frances Yasmeen Motiwalla (D),California District 34,6.78%,93.22%
David Kim (D),California District 34,6.54%,93.46%
Norma Torres (D),California District 35,5.55%,94.45%
Mike Cargile (R),California District 35,42.89%,57.11%
Raul Ruiz (D),California District 36,34.35%,65.65%
Raul M. Ruiz (R),California District 36,44.51%,55.49%
Milo Stevanovich (R),California District 36,3.94%,96.06%
Erin Cruz (R),California District 36,0.00%,100.00%
Larry Thompson (I),California District 37,18.28%,81.72%
Karen Bass (D),California District 37,10.29%,89.71%
Errol Webber (R),California District 37,2.60%,97.40%
Michael Tolar (D),California District 38,94.68%,5.32%
Linda Sanchez (D),California District 38,4.90%,95.10%
Young Kim (R),California District 39,10.35%,89.65%
Shawn Nelson (R),California District 39,0.00%,100.00%
Jay Chen (D),California District 39,0.00%,100.00%
Gil Cisneros (D),California District 39,7.55%,92.45%
Rodolfo Cortes Barragan (3),California District 40,0.00%,100.00%
Orion Paige Metzger (D),California District 40,0.00%,100.00%
Lucille Roybal-Allard (D),California District 40,5.19%,94.81%
Antonio Delgado (R),California District 40,1.31%,98.69%
Anthony Felix Jr. (D),California District 40,4.99%,95.01%
Mark Takano (D),California District 41,18.61%,81.39%
Grace Williams (D),California District 41,7.53%,92.47%
Aja Smith (R),California District 41,10.11%,89.89%
Regina Marston (D),California District 42,15.60%,84.40%
Liam O'Mara (D),California District 42,20.68%,79.32%
Ken Calvert (R),California District 42,9.66%,90.34%
Julia Peacock (D),California District 42,57.16%,42.84%
Omar Navarro (R),California District 43,0.29%,99.71%
Maxine Waters (D),California District 43,1.58%,98.42%
Joe Collins (R),California District 43,0.88%,99.12%
Nanette Barragan (D),California District 44,2.15%,97.85%
Billy Earley (R),California District 44,0.00%,0.00%
Aja Brown (D),California District 44,0.00%,0.00%
Aaron Nettles (D),California District 44,0.00%,100.00%
Ray Gennawey (R),California District 45,27.58%,72.42%
Peggy Huang (R),California District 45,26.37%,73.63%
Lisa Sparks (R),California District 45,14.79%,85.21%
Katie Porter (D),California District 45,5.47%,94.53%
Greg Raths (R),California District 45,16.31%,83.69%
Don Sedgwick (R),California District 45,17.20%,82.80%
Christopher Gonzales (R),California District 45,62.12%,37.88%
Brenton Woolworth (R),California District 45,13.89%,86.11%
Aditya Pai (D),California District 45,45.81%,54.19%
Lou Correa (D),California District 46,5.61%,94.39%
Joseph Dunn (D),California District 46,0.00%,100.00%
James Waters (R),California District 46,100.00%,0.00%
Sou Moua (R),California District 47,100.00%,0.00%
Shawn Roshan (D),California District 47,100.00%,0.00%
Peter Mathews (D),California District 47,77.91%,22.09%
John Briscoe (R),California District 47,83.33%,16.67%
Jalen McLeod (D),California District 47,10.92%,89.08%
Amy Phan West (R),California District 47,16.50%,83.50%
Alan Lowenthal (D),California District 47,47.41%,52.59%
Michelle Steel (R),California District 48,23.16%,76.84%
Harley Rouda (D),California District 48,32.67%,67.33%
Chris Engels (R),California District 48,75.66%,24.34%
Brian Burley (R),California District 48,31.35%,68.65%
Mike Levin (D),California District 49,31.39%,68.61%
Kristin Gaspar (R),California District 49,0.00%,100.00%
Craig Nordal (R),California District 49,100.00%,0.00%
Brian Maryott (R),California District 49,32.01%,67.99%
Stephen William Houlahan (I),California District 50,0.00%,0.00%
Sam Abed (R),California District 50,87.49%,12.51%
Nathan Wilkins (R),California District 50,3.30%,96.70%
Marisa Calderon (D),California District 50,0.47%,99.53%
Larry Wilske (R),California District 50,0.47%,99.53%
Duncan D. Hunter (R),California District 50,1.99%,98.01%
David Edick Jr (R),California District 50,0.00%,100.00%
Darrell Issa (R),California District 50,4.58%,95.42%
Carl Demaio (R),California District 50,9.30%,90.70%
Brian W Jones (R),California District 50,19.68%,80.32%
Bill Wells (R),California District 50,0.00%,100.00%
Ammar Campa-Najjar (D),California District 50,8.45%,91.55%
Alex Balkin (D),California District 50,1.92%,98.08%
Juan Vargas (D),California District 51,0.01%,99.99%
Juan Hidalgo (R),California District 51,40.53%,59.47%
John Renison (R),California District 51,0.00%,100.00%
Alejandro Rodriguez (R),California District 51,50.00%,50.00%
Scott Peters (D),California District 52,33.65%,66.35%
Ryan Cunningham (I),California District 52,0.00%,100.00%
Nancy Casady (D),California District 52,40.60%,59.40%
Jerlilia Ryans (D),California District 52,100.00%,0.00%
James Debello (R),California District 52,51.69%,48.31%
Zachary Fields (D),California District 53,12.50%,87.50%
Tom Wong (D),California District 53,22.85%,77.15%
Suzette Santori (D),California District 53,8.62%,91.38%
Susan Davis (D),California District 53,71.59%,28.41%
Sara Jacobs (D),California District 53,14.35%,85.65%
Michael Patrick Oristian (R),California District 53,8.85%,91.15%
Jose Caballero (D),California District 53,36.87%,63.13%
Joaquin Vazquez (D),California District 53,39.44%,60.56%
Janessa Goldbeck (D),California District 53,17.89%,82.11%
Georgette Gomez (D),California District 53,18.03%,81.97%
Famela Ramos (R),California District 53,8.00%,92.00%
Eric Kutner (D),California District 53,10.75%,89.25%
Daniel Ferrara (D),California District 53,9.09%,90.91%
Annette Meza (D),California District 53,26.95%,73.05%
Diana DeGette (D),Colorado District 01,38.82%,61.18%
Crisanta Duran (D),Colorado District 01,57.49%,42.51%
Charlie Madison Winters (D),Colorado District 01,35.32%,64.68%
William Cutcher (R),Colorado District 02,55.95%,44.05%
Joseph Neguse (D),Colorado District 02,52.74%,47.26%
Charles Winn (R),Colorado District 02,60.33%,39.67%
Scott Tipton (R),Colorado District 03,45.34%,54.66%
Root Routledge (D),Colorado District 03,47.15%,52.85%
Lauren Boebert (R),Colorado District 03,33.59%,66.41%
James Iacino (D),Colorado District 03,32.56%,67.44%
Donald Valdez (D),Colorado District 03,95.72%,4.28%
Diane Mitsch Bush (D),Colorado District 03,38.16%,61.84%
Chris Milton (3),Colorado District 03,0.16%,99.84%
Melanie Tomitsch (D),Colorado District 04,25.29%,74.71%
Ken Buck (R),Colorado District 04,12.83%,87.17%
Jim McGannon (D),Colorado District 04,0.00%,100.00%
Isaac McCorkle (D),Colorado District 04,26.64%,73.36%
Ryan Lucas (D),Colorado District 05,4.06%,95.94%
Jillian Freeland (D),Colorado District 05,69.80%,30.20%
Douglas L Lamborn (R),Colorado District 05,30.67%,69.33%
Brandon Reid Bocchino (D),Colorado District 05,74.55%,25.45%
Steven House (R),Colorado District 06,10.77%,89.23%
Ryan Alexander Gonzalez (R),Colorado District 06,49.50%,50.50%
Mike Coffman (R),Colorado District 06,0.00%,100.00%
Jason Crow (D),Colorado District 06,8.52%,91.48%
Jaimie Kulikowski (3),Colorado District 06,0.00%,100.00%
Nathan Clay (D),Colorado District 07,14.84%,85.16%
Ed Perlmutter (D),Colorado District 07,18.79%,81.21%
Casper Stockham (R),Colorado District 07,58.44%,41.56%
Mary Fay (R),Connecticut District 01,44.87%,55.13%
John B Larson (D),Connecticut District 01,48.14%,51.86%
Jim Griffin (R),Connecticut District 01,2.33%,97.67%
Andrew Legnani (D),Connecticut District 01,54.69%,45.31%
Thomas Gilmer (R),Connecticut District 02,29.53%,70.47%
Justin Anderson (R),Connecticut District 02,59.97%,40.03%
Joe Courtney (D),Connecticut District 02,55.43%,44.57%
Rosa L DeLauro (D),Connecticut District 03,36.29%,63.71%
Margaret Streicker (R),Connecticut District 03,10.54%,89.46%
Justin Paglino (3),Connecticut District 03,62.90%,37.10%
Michael Goldstein (R),Connecticut District 04,12.67%,87.33%
Jonathan Riddle (R),Connecticut District 04,46.92%,53.08%
Jim Himes (D),Connecticut District 04,69.54%,30.46%
Christopher Shays (R),Connecticut District 04,0.00%,0.00%
Ryan Meehan (R),Connecticut District 05,34.69%,65.31%
Ruben Rodriguez (R),Connecticut District 05,97.66%,2.34%
Robert Finley Hyde (R),Connecticut District 05,32.05%,67.95%
Manny Santos (R),Connecticut District 05,0.00%,0.00%
Jahana Hayes (D),Connecticut District 05,30.50%,69.50%
David Sullivan (R),Connecticut District 05,49.16%,50.84%
Phil Ehr (D),Florida District 01,17.94%,82.06%
Matt Gaetz (R),Florida District 01,10.37%,89.63%
Greg Merk (R),Florida District 01,7.97%,92.03%
Cheryl Howard (D),Florida District 01,49.50%,50.50%
Bert Oram (I),Florida District 01,100.00%,0.00%
Willie Anderson (D),Florida District 02,70.92%,29.08%
Neal Dunn (R),Florida District 02,64.28%,35.72%
Kristy Thripp (I),Florida District 02,76.67%,23.33%
Tom Wells (D),Florida District 03,46.68%,53.32%
Todd Chase (R),Florida District 03,73.39%,26.61%
Ted Yoho (R),Florida District 03,3.87%,96.13%
Ryan Chamberlin (R),Florida District 03,3.13%,96.87%
Richard Allen Rowe (D),Florida District 03,0.22%,99.78%
Philip Dodds (D),Florida District 03,58.32%,41.68%
Kent Giunn (R),Florida District 03,0.00%,100.00%
Kat Cammack (R),Florida District 03,57.85%,42.15%
Judson Sapp (R),Florida District 03,41.64%,58.36%
Joe Millado (R),Florida District 03,0.00%,100.00%
James St. George (R),Florida District 03,4.57%,95.43%
Gavin Rollins (R),Florida District 03,44.47%,55.53%
Ed Braddy (R),Florida District 03,99.97%,0.03%
David Theus (R),Florida District 03,30.30%,69.70%
Bill Engelbrecht (R),Florida District 03,73.63%,26.37%
Amy Pope Wells (R),Florida District 03,24.97%,75.03%
Adam Christensen (D),Florida District 03,28.85%,71.15%
Monica DePaul (D),Florida District 04,72.73%,27.27%
John Rutherford (R),Florida District 04,48.60%,51.40%
Erick Aguilar (R),Florida District 04,59.02%,40.98%
Donna Deegan (D),Florida District 04,62.20%,37.80%
Chris Eagle (I),Florida District 04,0.00%,100.00%
Lashonda Holloway (D),Florida District 05,44.11%,55.89%
John Roger Wagoner (R),Florida District 05,6.08%,93.92%
Isaiah Abenchuchan (D),Florida District 05,1.03%,98.97%
Gary Adler (R),Florida District 05,0.00%,100.00%
Albert Chester (D),Florida District 05,38.42%,61.58%
Al Lawson (D),Florida District 05,5.51%,94.49%
Richard Thripp (D),Florida District 06,70.15%,29.85%
Nancy Soderberg (D),Florida District 06,0.00%,0.00%
Michael Waltz (R),Florida District 06,29.85%,70.15%
Gerry Nolan (I),Florida District 06,55.63%,44.38%
Clint Curtis (D),Florida District 06,40.64%,59.36%
Yukong Zhao (R),Florida District 07,2.01%,97.99%
Stephanie Murphy (D),Florida District 07,23.25%,76.75%
Sean Jackson (R),Florida District 07,0.00%,100.00%
Richard Goble (R),Florida District 07,40.54%,59.46%
Pedro Figueiredo (D),Florida District 07,45.45%,54.55%
Mike Thibodeau (R),Florida District 07,0.00%,100.00%
Leo Valentin (R),Florida District 07,7.74%,92.26%
Jan Edwards (R),Florida District 07,0.00%,100.00%
Chelle DiAngelus (R),Florida District 07,35.34%,64.66%
Bill Garlington (I),Florida District 07,69.65%,30.35%
Armani Salado (R),Florida District 07,50.00%,50.00%
Scott Caine (R),Florida District 08,78.58%,21.42%
James Kennedy (D),Florida District 08,83.64%,16.36%
Bill Posey (R),Florida District 08,83.32%,16.68%
Sergio E. Ortiz (R),Florida District 09,100.00%,0.00%
Jose Castillo (R),Florida District 09,2.42%,97.58%
Darren Soto (D),Florida District 09,3.88%,96.12%
Christopher Wright (R),Florida District 09,80.20%,19.80%
Bill Olson (R),Florida District 09,3.01%,96.99%
Alan Grayson (D),Florida District 09,0.96%,99.04%
Willie Montague (R),Florida District 10,0.00%,100.00%
Vennia Francois (R),Florida District 10,75.45%,24.55%
Val Demings (D),Florida District 10,16.58%,83.42%
Kirk Troen (R),Florida District 10,87.68%,12.32%
Jeffrey G. Rabinowitz (D),Florida District 11,0.00%,100.00%
Daniel Webster (R),Florida District 11,12.91%,87.09%
Dana Cottrell (D),Florida District 11,70.62%,29.38%
Kimberly Walker (D),Florida District 12,38.38%,61.62%
Gus Bilirakis (R),Florida District 12,27.36%,72.64%
Sheila Griffin (R),Florida District 13,75.47%,24.53%
Sharon Newby (R),Florida District 13,0.00%,100.00%
Nicolas Sacramento (R),Florida District 13,0.00%,0.00%
Matt Becker (R),Florida District 13,35.57%,64.43%
George Buck (R),Florida District 13,4.87%,95.13%
Charlie Crist (D),Florida District 13,15.50%,84.50%
Anna Paulina Luna (R),Florida District 13,21.22%,78.78%
Amanda Makki (R),Florida District 13,17.30%,82.70%
Tony Eldon (D),Florida District 14,99.01%,0.99%
Kathy Castor (D),Florida District 14,47.99%,52.01%
Christine Quinn (R),Florida District 14,44.89%,55.11%
Scott Franklin (R),Florida District 15,46.90%,53.10%
Ross Spano (R),Florida District 15,26.31%,73.69%
Loretta Miller (R),Florida District 15,62.50%,37.50%
Jesse Philippe (D),Florida District 15,9.79%,90.21%
Andrew Learned (D),Florida District 15,23.54%,76.46%
Alan Cohn (D),Florida District 15,1.99%,98.01%
Adam Hattersley (D),Florida District 15,6.97%,93.03%
Vernon Buchanan (R),Florida District 16,49.02%,50.98%
Mark Foley (R),Florida District 16,0.00%,100.00%
Margaret Good (D),Florida District 16,61.67%,38.33%
Jan Schneider (D),Florida District 16,100.00%,0.00%
Greg Steube (R),Florida District 17,11.13%,88.87%
Allen Ellison (D),Florida District 17,51.29%,48.71%
Pam Keith (D),Florida District 18,21.96%,78.04%
Oz Vazquez (D),Florida District 18,16.56%,83.44%
Nicholas Vessio (R),Florida District 18,66.67%,33.33%
Brian Mast (R),Florida District 18,20.73%,79.27%
William Figlesthaler (R),Florida District 19,85.41%,14.59%
Randy Henderson (R),Florida District 19,73.93%,26.07%
Heather Fitzenhagen (R),Florida District 19,40.64%,59.36%
Ford O'Connell (R),Florida District 19,41.26%,58.74%
David Holden (D),Florida District 19,84.95%,15.05%
Darren Dione Aquino (R),Florida District 19,4.16%,95.84%
Daniel Kowal (R),Florida District 19,58.29%,41.71%
Dane Eagle (R),Florida District 19,55.74%,44.26%
Dan 'Doc' Severson (R),Florida District 19,38.46%,61.54%
Cindy Lyn Banyai (D),Florida District 19,40.46%,59.54%
Christy McLaughlin (R),Florida District 19,85.74%,14.26%
Casey Askar (R),Florida District 19,47.79%,52.21%
Byron Donalds (R),Florida District 19,29.02%,70.98%
Angela Walls-Windhauser (R),Florida District 19,0.00%,100.00%
Vic Degrammont (R),Florida District 20,1.21%,98.79%
Sheila Cherfilus-Mccormick (D),Florida District 20,9.47%,90.53%
Roshan Mody (D),Florida District 20,0.00%,100.00%
Matt Boswell (D),Florida District 20,0.00%,0.00%
Lateresa Jones (R),Florida District 20,0.81%,99.19%
Greg Musselwhite (R),Florida District 20,1.87%,98.13%
Barbara Sharief (D),Florida District 20,0.00%,100.00%
Alcee L Hastings (D),Florida District 20,4.59%,95.41%
Victor Garcia Da Rosa (R),Florida District 21,0.00%,100.00%
Reba Sherrill (R),Florida District 21,0.00%,100.00%
Mike Vilardi (R),Florida District 21,6.52%,93.48%
Michael Bluemling Jr (R),Florida District 21,10.29%,89.71%
Lois J Frankel (D),Florida District 21,16.42%,83.58%
Laura Loomer (R),Florida District 21,15.64%,84.36%
Guido Weiss (D),Florida District 21,24.22%,75.78%
Emmanuel G Morel (D),Florida District 21,34.57%,65.43%
Elizabeth Felton (R),Florida District 21,17.92%,82.08%
Christian Acosta (R),Florida District 21,14.68%,85.32%
Charleston Malkemus (I),Florida District 21,0.00%,100.00%
Adam Aarons (D),Florida District 21,88.52%,11.48%
Aaron Scanlan (R),Florida District 21,5.14%,94.86%
Ted Deutch (D),Florida District 22,24.36%,75.64%
Omar Reyes (I),Florida District 22,0.00%,100.00%
Nicolas Kimaz (R),Florida District 22,0.00%,100.00%
Jim Pruden (R),Florida District 22,50.96%,49.04%
Jessi Melton (R),Florida District 22,53.02%,46.98%
Jeff Fandl (D),Florida District 22,47.68%,52.32%
Imtiaz Mohammad (D),Florida District 22,8.01%,91.99%
Frances Flynn (R),Florida District 22,26.22%,73.78%
Darlene Swaffar (R),Florida District 22,65.16%,34.84%
Tim Canova (I),Florida District 23,0.00%,100.00%
Shlomo Nizahon (R),Florida District 23,0.00%,0.00%
Richard Mendelson (R),Florida District 23,0.00%,100.00%
Michael T Kroske (R),Florida District 23,66.71%,33.29%
Kim Johnson (R),Florida District 23,3.94%,96.06%
Jennifer Perelman (D),Florida District 23,7.73%,92.27%
Demetrius Fugate (I),Florida District 23,0.00%,100.00%
