District,Estimated_Household_Median_Income
"Congressional District 7 (116th Congress), New Jersey",115585
"Congressional District 8 (116th Congress), New Jersey",65658
"Congressional District 9 (116th Congress), New Jersey",81431
"Congressional District 10 (116th Congress), New Jersey",61975
"Congressional District 11 (116th Congress), New Jersey",120847
"Congressional District 12 (116th Congress), New Jersey",87559
"Congressional District 1 (116th Congress), New Mexico",55318
"Congressional District 2 (116th Congress), New Mexico",46817
"Congressional District 3 (116th Congress), New Mexico",53357
"Congressional District 1 (116th Congress), New York",101701
"Congressional District 2 (116th Congress), New York",108725
"Congressional District 3 (116th Congress), New York",126191
"Congressional District 4 (116th Congress), New York",110677
"Congressional District 5 (116th Congress), New York",76150
"Congressional District 6 (116th Congress), New York",70529
"Congressional District 7 (116th Congress), New York",66891
"Congressional District 8 (116th Congress), New York",59806
"Congressional District 9 (116th Congress), New York",69754
"Congressional District 10 (116th Congress), New York",103331
"Congressional District 11 (116th Congress), New York",81253
"Congressional District 12 (116th Congress), New York",124502
"Congressional District 13 (116th Congress), New York",46298
"Congressional District 14 (116th Congress), New York",66749
"Congressional District 15 (116th Congress), New York",31061
"Congressional District 16 (116th Congress), New York",74799
"Congressional District 17 (116th Congress), New York",108449
"Congressional District 18 (116th Congress), New York",91723
"Congressional District 19 (116th Congress), New York",67004
"Congressional District 20 (116th Congress), New York",71156
"Congressional District 21 (116th Congress), New York",57320
"Congressional District 22 (116th Congress), New York",56615
"Congressional District 23 (116th Congress), New York",53769
"Congressional District 24 (116th Congress), New York",60899
"Congressional District 25 (116th Congress), New York",61336
"Congressional District 26 (116th Congress), New York",52122
"Congressional District 27 (116th Congress), New York",69186
"Congressional District 1 (116th Congress), North Carolina",47469
"Congressional District 2 (116th Congress), North Carolina",75366
"Congressional District 3 (116th Congress), North Carolina",53545
"Congressional District 4 (116th Congress), North Carolina",75687
"Congressional District 5 (116th Congress), North Carolina",49376
"Congressional District 6 (116th Congress), North Carolina",54132
"Congressional District 7 (116th Congress), North Carolina",53066
"Congressional District 8 (116th Congress), North Carolina",54507
"Congressional District 9 (116th Congress), North Carolina",66208
"Congressional District 10 (116th Congress), North Carolina",53189
"Congressional District 11 (116th Congress), North Carolina",51884
"Congressional District 12 (116th Congress), North Carolina",61658
"Congressional District 13 (116th Congress), North Carolina",56718
"Congressional District (at Large) (116th Congress), North Dakota",64577
"Congressional District 1 (116th Congress), Ohio",63648
"Congressional District 2 (116th Congress), Ohio",61220
"Congressional District 3 (116th Congress), Ohio",51435
"Congressional District 4 (116th Congress), Ohio",60212
"Congressional District 5 (116th Congress), Ohio",63702
"Congressional District 6 (116th Congress), Ohio",52442
"Congressional District 7 (116th Congress), Ohio",57897
"Congressional District 8 (116th Congress), Ohio",62845
"Congressional District 9 (116th Congress), Ohio",45076
"Congressional District 10 (116th Congress), Ohio",56595
"Congressional District 11 (116th Congress), Ohio",42207
"Congressional District 12 (116th Congress), Ohio",76631
"Congressional District 13 (116th Congress), Ohio",46582
"Congressional District 14 (116th Congress), Ohio",67698
"Congressional District 15 (116th Congress), Ohio",69844
"Congressional District 16 (116th Congress), Ohio",68534
"Congressional District 1 (116th Congress), Oklahoma",59660
