,Seat,Candidate,Party,Raised,Spent,Winner,Incumbent
0,CO05,Rebecca Keltie ,dem,"$2,552","$1,495",N,N
0,CO06,Jason Crow ,dem,"$4,136,137","$2,892,443",Y,Y
0,CO06,Steven House ,gop,"$1,200,056","$1,198,044",N,N
0,CO06,Jaimie Kulikowski ,gop,"$72,293","$110,645",N,N
0,CO07,Ed Perlmutter ,dem,"$1,632,262","$1,339,482",Y,Y
0,CO07,Casper Stockham ,gop,"$147,872","$147,872",N,N
0,CO07,Anthony Malgieri ,gop,"$1,930","$1,958",N,N
0,CO08,Yadira Caraveo ,dem,"$3,127,799","$2,533,756",N,N
0,CO08,Barb Kirkmeyer ,gop,"$1,358,670","$1,238,284",N,N
0,CT01,John Larson ,dem,"$1,377,238","$1,323,690",Y,Y
0,CT01,Mary Fay ,gop,"$26,836","$25,118",N,N
0,CT02,Joe Courtney ,dem,"$964,731","$999,360",Y,Y
0,CT02,Justin Anderson ,gop,"$80,227","$78,767",N,N
0,CT03,Rosa DeLauro ,dem,"$1,938,999","$1,795,635",Y,Y
0,CT03,Margaret Streicker ,gop,"$1,839,080","$1,835,385",N,N
0,CT03,Justin Paglino ,gop,"$29,200","$28,670",N,N
0,CT04,Jim Himes ,dem,"$1,612,935","$2,180,029",Y,Y
0,CT04,Jonathan Riddle ,gop,"$31,591","$17,385",N,N
0,CT05,Jahana Hayes ,dem,"$2,037,826","$1,564,685",Y,Y
0,CT05,David Sullivan ,gop,"$397,395","$397,370",N,N
0,DE01,Lisa Blunt Rochester ,dem,"$2,024,201","$1,305,618",Y,Y
0,DE01,Lee Murphy ,gop,"$131,394","$131,862",N,N
0,DE01,Catherine Purcell ,gop,"$5,344","$5,103",N,N
0,FL01,Matt Gaetz ,gop,"$5,946,646","$4,482,782",Y,Y
0,FL01,Phil Ehr ,dem,"$2,025,099","$1,900,451",N,N
0,FL01,Bert Oram ,dem,"$8,108","$7,070",N,N
0,FL02,Neal Dunn ,gop,"$653,488","$637,580",Y,Y
0,FL02,Kristy Thripp ,gop,$145,$145,N,N
0,FL03,Kat Cammack ,gop,"$1,122,188","$1,090,334",Y,N
0,FL03,Adam Christensen ,dem,"$216,021","$219,108",N,N
0,FL04,John Rutherford ,gop,"$1,024,912","$1,283,701",Y,Y
0,FL04,Donna Deegan ,dem,"$1,013,157","$1,013,157",N,N
0,FL05,Al Lawson ,dem,"$848,498","$695,779",Y,Y
0,FL05,Gary Adler ,gop,"$146,909","$146,909",N,N
0,FL06,Michael Waltz ,gop,"$2,549,667","$1,716,768",Y,Y
0,FL06,Clint Curtis ,dem,"$24,310","$22,251",N,N
0,FL06,Gerry Nolan ,dem,"$4,467","$5,256",N,N
0,FL07,Stephanie Murphy ,dem,"$3,124,692","$1,798,549",Y,Y
0,FL07,Leo Valentin ,gop,"$1,045,426","$1,031,316",N,N
0,FL07,Bill Garlington ,gop,"$11,000",$0,N,N
0,FL08,Bill Posey ,gop,"$985,268","$1,121,834",Y,Y
0,FL08,James Kennedy ,dem,"$138,568","$138,790",N,N
0,FL09,Darren Soto ,dem,"$1,111,750","$945,868",Y,Y
0,FL09,William Olson ,gop,"$404,406","$401,088",N,N
0,FL10,Val Demings ,dem,"$1,876,047","$1,191,020",Y,Y
0,FL10,Vennia Francois ,gop,"$335,480","$332,852",N,N
0,FL10,Kristofer Steven Lawson ,gop,$47,$47,N,N
0,FL11,Daniel Webster ,gop,"$691,261","$586,965",Y,Y
0,FL11,Dana Cottrell ,dem,"$62,658","$62,380",N,N
0,FL12,Gus Bilirakis ,gop,"$1,604,137","$1,548,634",Y,Y
0,FL12,Kim Walker ,dem,"$42,802","$33,544",N,N
0,FL13,Charlie Crist ,dem,"$2,720,646","$3,980,695",Y,Y
0,FL13,Anna Paulina Luna ,gop,"$3,302,944","$3,262,236",N,N
0,FL14,Kathy Castor ,dem,"$884,651","$1,201,653",Y,Y
0,FL14,Christine Quinn ,gop,"$242,144","$241,187",N,N
0,FL15,Alan Cohn ,dem,"$2,333,053","$2,300,197",N,N
0,FL15,Scott Franklin ,gop,"$1,663,898","$1,638,417",Y,N
0,FL16,Vernon Buchanan ,gop,"$3,094,611","$3,100,766",Y,Y
0,FL16,Margaret Good ,dem,"$3,411,924","$3,407,845",N,N
0,FL17,Greg Steube ,gop,"$759,908","$621,200",Y,Y
0,FL17,Allen Ellison ,dem,"$83,481","$78,243",N,N
0,FL18,Brian Mast ,gop,"$6,128,177","$5,301,307",Y,Y
0,FL18,Pam Keith ,dem,"$1,639,873","$1,632,736",N,N
0,FL19,Byron Donalds ,gop,"$3,219,579","$2,738,685",Y,N
0,FL19,Cindy Banyai ,dem,"$214,750","$203,430",N,N
0,FL20,Alcee Hastings ,dem,"$607,649","$543,316",Y,Y
0,FL20,Greg Musselwhite ,gop,"$28,955","$27,538",N,N
0,FL21,Lois Frankel ,dem,"$1,534,882","$1,309,786",Y,Y
0,FL21,Laura Loomer ,gop,"$2,271,604","$2,240,689",N,N
0,FL21,Charleston Malkemus ,gop,"$28,928","$28,636",N,N
0,FL22,Ted Deutch ,dem,"$1,364,438","$1,265,494",Y,Y
0,FL22,Jim Pruden ,gop,"$278,416","$278,416",N,N
0,FL23,Debbie Wasserman Schultz ,dem,"$2,191,922","$1,979,903",Y,Y
0,FL23,Carla Spalding ,gop,"$919,579","$903,561",N,N
0,FL24,Frederica Wilson ,dem,"$412,592","$321,019",Y,Y
0,FL24,Lavern Spicer ,gop,"$34,973","$34,909",N,N
0,FL24,Christine Olivo ,gop,"$31,646","$32,898",N,N
0,FL25,Mario Diaz-Balart ,gop,"$1,590,134","$804,054",Y,Y
0,FL26,Debbie Mucarsel-Powell ,dem,"$6,793,521","$6,822,740",N,Y
0,FL26,Carlos Gimenez ,gop,"$2,226,559","$2,187,389",Y,N
0,FL27,Donna Shalala ,dem,"$3,842,907","$3,735,966",N,Y
0,FL27,Maria Salazar ,gop,"$3,654,190","$3,645,814",Y,N
