year,seat,candidate,party,candidatevotes
2018,AL01,BRADLEY BYRNE,REPUBLICAN,153228
2018,AL01,ROBERT KENNEDY JR,DEMOCRAT,89226
2018,AL01,WRITEIN,,163
2018,AL02,MARTHA ROBY,REPUBLICAN,138879
2018,AL02,TABITHA ISNER,DEMOCRAT,86931
2018,AL02,WRITEIN,,420
2018,AL03,MALLORY HAGAN,DEMOCRAT,83996
2018,AL03,MIKE ROGERS,REPUBLICAN,147770
2018,AL03,WRITEIN,,149
2018,AL04,LEE AUMAN,DEMOCRAT,46492
2018,AL04,ROBERT ADERHOLT,REPUBLICAN,184255
2018,AL04,WRITEIN,,222
2018,AL05,MO BROOKS,REPUBLICAN,159063
2018,AL05,PETER JOFFRION,DEMOCRAT,101388
2018,AL05,WRITEIN,,222
2018,AL06,DANNER KLINE,DEMOCRAT,85644
2018,AL06,GARY PALMER,REPUBLICAN,192542
2018,AL06,WRITEIN,,142
2018,AL07,TERRI SEWELL,DEMOCRAT,185010
2018,AL07,WRITEIN,,4153
2018,AK01,ALYSE S GALVIN,DEMOCRAT,131199
2018,AK01,DON YOUNG,REPUBLICAN,149779
2018,AK01,WRITEIN,,1188
2018,AZ01,TOM O'HALLERAN,DEMOCRAT,143240
2018,AZ01,WENDY ROGERS,REPUBLICAN,122784
2018,AZ01,WRITEIN,,65
2018,AZ02,ANN KIRKPATRICK,DEMOCRAT,161000
2018,AZ02,LEA MARQUEZ PETERSON,REPUBLICAN,133083
2018,AZ02,WRITEIN,,69
2018,AZ03,"NICOLAS ""NICK"" PIERSON",REPUBLICAN,64868
2018,AZ03,RAUL GRIJALVA,DEMOCRAT,114650
2018,AZ04,DAVID BRILL,DEMOCRAT,84521
2018,AZ04,HARYAKSHA GREGOR KNAUER,GREEN,3672
2018,AZ04,PAUL GOSAR,REPUBLICAN,188842
2018,AZ05,ANDY BIGGS,REPUBLICAN,186037
2018,AZ05,JOAN GREENE,DEMOCRAT,127027
2018,AZ06,ANITA MALIK,DEMOCRAT,140559
2018,AZ06,DAVID SCHWEIKERT,REPUBLICAN,173140
2018,AZ07,GARY SWING,GREEN,18706
2018,AZ07,RUBEN GALLEGO,DEMOCRAT,113044
2018,AZ07,WRITEIN,,301
2018,AZ08,DEBBIE LESKO,REPUBLICAN,168835
2018,AZ08,HIRAL TIPIRNENI,DEMOCRAT,135569
2018,AZ08,STEVEN HUMMEL,,13
2018,AZ09,GREG STANTON,DEMOCRAT,159583
2018,AZ09,STEPHEN L FERRARA,REPUBLICAN,101662
2018,AR01,CHINTAN DESAI,DEMOCRAT,57907
2018,AR01,ELVIS PRESLEY,LIBERTARIAN,4581
2018,AR01,RICK CRAWFORD,REPUBLICAN,138757
2018,AR02,CLARKE TUCKER,DEMOCRAT,116135
2018,AR02,FRENCH HILL,REPUBLICAN,132125
2018,AR02,JOE RYNE SWAFFORD,LIBERTARIAN,5193
2018,AR03,JOSH MAHONY,DEMOCRAT,74952
2018,AR03,MICHAEL J KALAGIAS,LIBERTARIAN,5899
2018,AR03,STEVE WOMACK,REPUBLICAN,148717
2018,AR03,WRITEIN,,140
2018,AR04,BRUCE WESTERMAN,REPUBLICAN,136740
2018,AR04,HAYDEN CATHERINE SHAMEL,DEMOCRAT,63984
2018,AR04,TOM CANADA,LIBERTARIAN,3952
2018,AR04,WRITEIN,,216
2018,CA01,AUDREY DENNEY,DEMOCRAT,131548
2018,CA01,DOUG LA MALFA,REPUBLICAN,160046
2018,CA02,DALE K MENSING,REPUBLICAN,72576
2018,CA02,JARED HUFFMAN,DEMOCRAT,243081
2018,CA03,CHARLIE SCHAUPP,REPUBLICAN,97376
2018,CA03,JOHN GARAMENDI,DEMOCRAT,134875
2018,CA04,JESSICA MORSE,DEMOCRAT,156253
2018,CA04,TOM MCCLINTOCK,REPUBLICAN,184401
2018,CA05,ANTHONY MILLS,NO PARTY PREFERENCE,55158
2018,CA05,MIKE THOMPSON,DEMOCRAT,205860
2018,CA06,DORIS MATSUI,DEMOCRAT,162411
2018,CA06,JRMAR JEFFERSON,DEMOCRAT,39528
2018,CA07,AMI BERA,DEMOCRAT,155016
2018,CA07,ANDREW GRANT,REPUBLICAN,126601
2018,CA08,PAUL COOK,REPUBLICAN,102415
2018,CA08,TIM DONNELLY,REPUBLICAN,68370
2018,CA09,JERRY MCNERNEY,DEMOCRAT,113414
2018,CA09,MARLA LIVENGOOD,REPUBLICAN,87349
2018,CA10,JEFF DENHAM,REPUBLICAN,105955
2018,CA10,JOSH HARDER,DEMOCRAT,115945
2018,CA11,JOHN FITZGERALD,REPUBLICAN,71312
2018,CA11,MARK DESAULNIER,DEMOCRAT,204369
2018,CA12,LISA REMMER,REPUBLICAN,41780
2018,CA12,NANCY PELOSI,DEMOCRAT,275292
2018,CA13,BARBARA LEE,DEMOCRAT,260580
2018,CA13,LAURA WELLS,GREEN,34257
2018,CA14,CRISTINA OSMENA,REPUBLICAN,55439
2018,CA14,JACKIE SPEIER,DEMOCRAT,211384
2018,CA15,ERIC SWALWELL,DEMOCRAT,177989
2018,CA15,RUDY L PETERS JR,REPUBLICAN,65940
2018,CA16,ELIZABETH HENG,REPUBLICAN,60693
2018,CA16,JIM COSTA,DEMOCRAT,82266
2018,CA17,RO KHANNA,DEMOCRAT,159105
2018,CA17,RON COHEN,REPUBLICAN,52057
2018,CA18,ANNA G ESHOO,DEMOCRAT,225142
2018,CA18,CHRISTINE RUSSELL,REPUBLICAN,77096
2018,CA19,JUSTIN JAMES AGUILERA,REPUBLICAN,57823
2018,CA19,ZOE LOFGREN,DEMOCRAT,162496
2018,CA20,JIMMY PANETTA,DEMOCRAT,183677
2018,CA20,RONALD PAUL KABAT,NO PARTY PREFERENCE,42044
2018,CA21,DAVID G VALADAO,REPUBLICAN,56377
2018,CA21,TJ COX,DEMOCRAT,57239
2018,CA22,ANDREW JANZ,DEMOCRAT,105136
2018,CA22,DEVIN G NUNES,REPUBLICAN,117243
2018,CA23,KEVIN MCCARTHY,REPUBLICAN,131113
2018,CA23,TATIANA MATTA,DEMOCRAT,74661
2018,CA24,JUSTIN FAREED,REPUBLICAN,117881
2018,CA24,SALUD CARBAJAL,DEMOCRAT,166550
2018,CA25,KATIE HILL,DEMOCRAT,133209
2018,CA25,STEVE KNIGHT,REPUBLICAN,111813
2018,CA26,ANTONIO SABATO JR,REPUBLICAN,97210
2018,CA26,JULIA BROWNLEY,DEMOCRAT,158216
2018,CA27,BRYAN WITT,DEMOCRAT,42132
2018,CA27,JUDY CHU,DEMOCRAT,160504
2018,CA28,ADAM B SCHIFF,DEMOCRAT,196662
2018,CA28,JOHNNY J NALBANDIAN,REPUBLICAN,54272
2018,CA29,BENITO BENNY BERNAL,REPUBLICAN,29995
2018,CA29,TONY CARDENAS,DEMOCRAT,124697
2018,CA30,BRAD SHERMAN,DEMOCRAT,191573
2018,CA30,MARK S REED,REPUBLICAN,69420
2018,CA31,PETE AGUILAR,DEMOCRAT,110143
2018,CA31,SEAN FLYNN,REPUBLICAN,77352
2018,CA32,GRACE FLORES NAPOLITANO,DEMOCRAT,121759
2018,CA32,JOSHUA M SCOTT,REPUBLICAN,55272
2018,CA33,KENNETH WESTON WRIGHT,REPUBLICAN,93769
2018,CA33,TED W LIEU,DEMOCRAT,219091
2018,CA34,JIMMY GOMEZ,DEMOCRAT,110195
2018,CA34,KENNETH MEJIA,GREEN,41711
2018,CA35,CHRISTIAN LEONEL VALIENTE,REPUBLICAN,45604
2018,CA35,NORMA J TORRES,DEMOCRAT,103420
2018,CA36,KIMBERLIN BROWN PELZER,REPUBLICAN,84839
2018,CA36,RAUL RUIZ,DEMOCRAT,122169
2018,CA37,KAREN BASS,DEMOCRAT,210555
2018,CA37,RON J BASSILIAN,REPUBLICAN,25823
2018,CA38,LINDA T SANCHEZ,DEMOCRAT,139188
2018,CA38,RYAN DOWNING,REPUBLICAN,62968
2018,CA39,GIL CISNEROS,DEMOCRAT,126002
2018,CA39,YOUNG KIM,REPUBLICAN,118391
2018,CA40,LUCILLE ROYBAL-ALLARD,DEMOCRAT,93938
2018,CA40,RODOLFO CORTES BARRAGAN,GREEN,27511
2018,CA41,AJA SMITH,REPUBLICAN,58021
2018,CA41,MARK TAKANO,DEMOCRAT,108227
2018,CA42,JULIA C PEACOCK,DEMOCRAT,100892
2018,CA42,KEN CALVERT,REPUBLICAN,131040
2018,CA43,MAXINE WATERS,DEMOCRAT,152272
2018,CA43,OMAR NAVARRO,REPUBLICAN,43780
2018,CA44,AJA L BROWN,DEMOCRAT,45378
2018,CA44,NANETTE DIAZ BARRAGAN,DEMOCRAT,97944
2018,CA45,KATIE PORTER,DEMOCRAT,158906
2018,CA45,MIMI WALTERS,REPUBLICAN,146383
2018,CA46,LOU CORREA,DEMOCRAT,102278
2018,CA46,RUSSELL RENE LAMBERT,REPUBLICAN,45638
2018,CA47,ALAN LOWENTHAL,DEMOCRAT,143354
2018,CA47,JOHN BRISCOE,REPUBLICAN,77682
2018,CA48,DANA ROHRABACHER,REPUBLICAN,136899
2018,CA48,HARLEY ROUDA,DEMOCRAT,157837
2018,CA49,DIANE L HARKEY,REPUBLICAN,128577
2018,CA49,MIKE LEVIN,DEMOCRAT,166453
2018,CA50,AMMAR CAMPA-NAJJAR,DEMOCRAT,125448
2018,CA50,DUNCAN HUNTER,REPUBLICAN,134362
2018,CA51,JUAN M HIDALGO JR,REPUBLICAN,44301
2018,CA51,JUAN VARGAS,DEMOCRAT,109527
2018,CA52,OMAR QUDRAT,REPUBLICAN,107015
2018,CA52,SCOTT PETERS,DEMOCRAT,188992
2018,CA53,MORGAN MURTAUGH,REPUBLICAN,83127
2018,CA53,SUSAN A DAVIS,DEMOCRAT,185667
2018,CO01,CHARLES CASPER STOCKHAM,REPUBLICAN,85207
2018,CO01,DIANA DEGETTE,DEMOCRAT,272886
2018,CO01,RAYMON ANTHONY DOANE,LIBERTARIAN,11600
2018,CO02,JOE NEGUSE,DEMOCRAT,259608
2018,CO02,NICK THOMAS,INDEPENDENT,16356
2018,CO02,PETER YU,REPUBLICAN,144901
2018,CO02,ROGER BARRIS,LIBERTARIAN,9749
2018,CO03,DIANE MITSCH BUSH,DEMOCRAT,146426
2018,CO03,GAYLON KENT,LIBERTARIAN,5727
2018,CO03,MARY M MALARSIE,INDEPENDENT,10831
2018,CO03,SCOTT R TIPTON,REPUBLICAN,173205
2018,CO04,KAREN MCCORMICK,DEMOCRAT,145544
2018,CO04,KEN BUCK,REPUBLICAN,224038
2018,CO05,DOUG LAMBORN,REPUBLICAN,184002
2018,CO05,DOUGLAS RANDALL,LIBERTARIAN,11795
2018,CO05,STEPHANY ROSE SPAULDING,DEMOCRAT,126848
2018,CO06,DAN CHAPIN,UNAFFILIATED,4607
2018,CO06,JASON CROW,DEMOCRAT,187639
2018,CO06,KAT MARTIN,LIBERTARIAN,5886
2018,CO06,MIKE COFFMAN,REPUBLICAN,148685
2018,CO07,ED PERLMUTTER,DEMOCRAT,204260
2018,CO07,JENNIFER NACKERUD,LIBERTARIAN,14012
2018,CO07,MARK BARRINGTON,REPUBLICAN,119734
2018,CT01,JENNIFER T NYE,REPUBLICAN,96024
2018,CT01,JOHN B LARSON,DEMOCRAT,166155
2018,CT01,JOHN B LARSON,WORKING FAMILIES,8932
2018,CT01,THOMAS MCCORMICK,GREEN,3029
2018,CT02,DANIEL REALE,LIBERTARIAN,3305
2018,CT02,DANNY POSTEMSKI JR,REPUBLICAN,102483
2018,CT02,JOE COURTNEY,DEMOCRAT,167659
2018,CT02,JOE COURTNEY,WORKING FAMILIES,12072
2018,CT02,MICHELLE LOUISE BICKING,GREEN,3595
2018,CT03,ANGEL CADENA,REPUBLICAN,95667
2018,CT03,ROSA L DELAURO,DEMOCRAT,163211
2018,CT03,ROSA L DELAURO,WORKING FAMILIES,11361
2018,CT04,HARRY ARORA,INDEPENDENT,3746
2018,CT04,HARRY ARORA,REPUBLICAN,103175
2018,CT04,JIM HIMES,DEMOCRAT,168726
2018,CT04,WRITEIN,,4
2018,CT05,JAHANA HAYES,DEMOCRAT,142901
2018,CT05,JAHANA HAYES,WORKING FAMILIES,8324
2018,CT05,MANNY SANTOS,INDEPENDENT,4280
2018,CT05,MANNY SANTOS,REPUBLICAN,115146
2018,CT05,WRITEIN,,13
2018,DE01,LISA BLUNT ROCHESTER,DEMOCRAT,227353
2018,DE01,SCOTT WALKER,REPUBLICAN,125384
2018,FL01,JENNIFER M ZIMMERMAN,DEMOCRAT,106199
2018,FL01,MATT GAETZ,REPUBLICAN,216189
2018,FL02,BOB RACKLEFF,DEMOCRAT,96233
2018,FL02,NEAL DUNN,REPUBLICAN,199335
2018,FL03,TED YOHO,REPUBLICAN,176616
2018,FL03,YVONNE HAYES HINSON,DEMOCRAT,129880
2018,FL04,"GEORGE ""GES"" SELMONT",DEMOCRAT,123351
2018,FL04,JASON MICHAEL BULGER,NO PARTY AFFILIATION,2321
2018,FL04,JOCELINE BERRIOS,NO PARTY AFFILIATION,7155
2018,FL04,JOHN H RUTHERFORD,REPUBLICAN,248420
2018,FL04,WRITEIN,,2
2018,FL05,AL LAWSON,DEMOCRAT,180527
2018,FL05,VIRGINIA FULLER,REPUBLICAN,89799
2018,FL06,MICHAEL WALTZ,REPUBLICAN,187891
2018,FL06,NANCY SODERBERG,DEMOCRAT,145758
2018,FL07,MIKE MILLER,REPUBLICAN,134285
2018,FL07,STEPHANIE MURPHY,DEMOCRAT,183113
2018,FL08,BILL POSEY,REPUBLICAN,218112
2018,FL08,SANJAY PATEL,DEMOCRAT,142415
2018,FL09,DARREN SOTO,DEMOCRAT,172172
2018,FL09,WAYNE LIEBNITZKY,REPUBLICAN,124565
2018,FL10,VAL DEMINGS,DEMOCRAT,1
2018,FL11,DANA COTTRELL,DEMOCRAT,128053
2018,FL11,DANIEL WEBSTER,REPUBLICAN,239395
2018,FL11,WRITEIN,,58
2018,FL12,ANGELIKA PURKIS,NO PARTY AFFILIATION,7510
2018,FL12,CHRIS HUNTER,DEMOCRAT,132844
2018,FL12,GUS MICHAEL BILIRAKIS,REPUBLICAN,194564
2018,FL13,CHARLIE CRIST,DEMOCRAT,182717
2018,FL13,GEORGE BUCK,REPUBLICAN,134254
2018,FL14,KATHY CASTOR,DEMOCRAT,1
2018,FL15,KRISTEN CARLSON,DEMOCRAT,134132
2018,FL15,ROSS SPANO,REPUBLICAN,151380
2018,FL15,WRITEIN,,20
2018,FL16,DAVID SHAPIRO,DEMOCRAT,164463
2018,FL16,VERN BUCHANAN,REPUBLICAN,197483
2018,FL17,ALLEN ELLISON,DEMOCRAT,117194
2018,FL17,GREG STEUBE,REPUBLICAN,193326
2018,FL18,BRIAN MAST,REPUBLICAN,185905
2018,FL18,LAUREN BAER,DEMOCRAT,156454
2018,FL19,DAVID HOLDEN,DEMOCRAT,128106
2018,FL19,FRANCIS ROONEY,REPUBLICAN,211465
2018,FL19,WRITEIN,,36
2018,FL20,ALCEE L HASTINGS,DEMOCRAT,202659
2018,FL20,JAY BONNER,NO PARTY AFFILIATION,165
2018,FL21,LOIS FRANKEL,DEMOCRAT,1
2018,FL22,NICOLAS KIMAZ,REPUBLICAN,113049
2018,FL22,TED DEUTCH,DEMOCRAT,184634
2018,FL23,DEBBIE WASSERMAN SCHULTZ,DEMOCRAT,161611
2018,FL23,DON ENDRISS,NO PARTY AFFILIATION,1612
2018,FL23,"JOSEPH ""JOE"" KAUFMAN",REPUBLICAN,99446
2018,FL23,"TIMOTHY A ""TIM"" CANOVA",NO PARTY AFFILIATION,13697
2018,FL24,FREDERICA WILSON,DEMOCRAT,1
2018,FL25,MARIO DIAZ-BALART,REPUBLICAN,128672
2018,FL25,MARY BARZEE FLORES,DEMOCRAT,84173
2018,FL26,CARLOS CURBELO,REPUBLICAN,115678
2018,FL26,DEBBIE MUCARSEL-POWELL,DEMOCRAT,119797
2018,FL27,DONNA SHALALA,DEMOCRAT,130743
2018,FL27,MARIA ELVIRA SALAZAR,REPUBLICAN,115588
2018,FL27,MAYRA JOLI,NO PARTY AFFILIATION,6255
2018,GA01,"EARL L ""BUDDY"" CARTER",REPUBLICAN,144741
2018,GA01,LISA M RING,DEMOCRAT,105942
2018,GA02,HERMAN WEST JR,REPUBLICAN,92472
2018,GA02,SANFORD BISHOP,DEMOCRAT,136699
2018,GA03,CHUCK ENDERLIN,DEMOCRAT,101010
2018,GA03,DREW FERGUSON,REPUBLICAN,191996
2018,GA04,"HENRY C ""HANK"" JOHNSON JR",DEMOCRAT,227717
2018,GA04,JOE PROFIT,REPUBLICAN,61092
2018,GA05,JOHN R LEWIS,DEMOCRAT,275406
2018,GA06,KAREN HANDEL,REPUBLICAN,156875
2018,GA06,LUCY MCBATH,DEMOCRAT,160139
2018,GA06,WRITEIN,,18
2018,GA07,CAROLYN BOURDEAUX,DEMOCRAT,140011
2018,GA07,ROB WOODALL,REPUBLICAN,140430
2018,GA08,AUSTIN SCOTT,REPUBLICAN,198152
2018,GA08,WRITEIN,,564
2018,GA09,DOUG COLLINS,REPUBLICAN,224661
2018,GA09,JOSH MCCALL,DEMOCRAT,57912
2018,GA09,WRITEIN,,5
2018,GA10,JODY HICE,REPUBLICAN,190396
2018,GA10,TABITHA A JOHNSON-GREEN,DEMOCRAT,112339
2018,GA11,BARRY LOUDERMILK,REPUBLICAN,191887
2018,GA11,FLYNN D BROADY JR,DEMOCRAT,118653
2018,GA12,FRANCYS JOHNSON,DEMOCRAT,101503
2018,GA12,RICK W ALLEN,REPUBLICAN,148986
2018,GA12,WRITEIN,,3
2018,GA13,DAVID CALLAHAN,REPUBLICAN,69760
2018,GA13,DAVID SCOTT,DEMOCRAT,223157
2018,GA13,WRITEIN,,93
2018,GA14,STEVEN LAMAR FOSTER,DEMOCRAT,53981
2018,GA14,TOM GRAVES,REPUBLICAN,175743
2018,HI01,CALVIN C GRIFFIN,NONPARTISAN,1351
2018,HI01,CAM CAVASSO,REPUBLICAN,42498
2018,HI01,ED CASE,DEMOCRAT,134650
2018,HI01,MICHELLE ROSE TIPPENS,LIBERTARIAN,3498
2018,HI01,ZACHARY B BURD,GREEN,2214
2018,HI02,BRIAN EVANS,REPUBLICAN,44850
2018,HI02,TULSI GABBARD,DEMOCRAT,153271
2018,ID01,CRISTINA MCNEIL,DEMOCRAT,96922
2018,ID01,GORDON COUNSIL,INDEPENDENT,1054
2018,ID01,NATALIE M FLEMING,INDEPENDENT,6188
2018,ID01,PAUL FARMER,INDEPENDENT,4479
2018,ID01,PRO-LIFE,CONSTITUTION,3181
2018,ID01,RUSS FULCHER,REPUBLICAN,197719
2018,ID01,W SCOTT HOWARD,LIBERTARIAN,5435
2018,ID01,WRITEIN,,91
2018,ID02,AARON SWISHER,DEMOCRAT,110381
2018,ID02,MIKE SIMPSON,REPUBLICAN,170274
2018,IL01,BOBBY L RUSH,DEMOCRAT,189560
2018,IL01,JIMMY LEE TILLMAN II,REPUBLICAN,50960
2018,IL01,THOMAS RUDBECK,INDEPENDENT,17365
2018,IL01,WRITEIN,,0
2018,IL02,DAVID MERKLE,REPUBLICAN,44567
2018,IL02,ROBIN KELLY,DEMOCRAT,190684
2018,IL03,ARTHUR J JONES,REPUBLICAN,57885
2018,IL03,DANIEL WILLIAM LIPINSKI,DEMOCRAT,163053
2018,IL03,WRITEIN,,2396
2018,IL04,"JESUS ""CHUY"" GARCIA",DEMOCRAT,143895
2018,IL04,MARK WAYNE LORCH,REPUBLICAN,22294
2018,IL05,MIKE QUIGLEY,DEMOCRAT,213992
2018,IL05,TOM HANSON,REPUBLICAN,65134
2018,IL05,WRITEIN,,5
2018,IL06,PETER J ROSKAM,REPUBLICAN,146445
2018,IL06,SEAN CASTEN,DEMOCRAT,169001
2018,IL06,WRITEIN,,0
2018,IL07,CRAIG CAMERON,REPUBLICAN,30497
2018,IL07,DANNY K DAVIS,DEMOCRAT,215746
2018,IL08,"JITENDRA ""JD"" DIGANVKER",REPUBLICAN,67073
2018,IL08,RAJA KRISHNAMOORTHI,DEMOCRAT,130054
2018,IL09,JANICE D SCHAKOWSKY,DEMOCRAT,213368
2018,IL09,JOHN D ELLESON,REPUBLICAN,76983
2018,IL10,BRAD SCHNEIDER,DEMOCRAT,156540
2018,IL10,DOUGLAS R BENNETT,REPUBLICAN,82124
2018,IL11,BILL FOSTER,DEMOCRAT,145407
2018,IL11,NICK STELLA,REPUBLICAN,82358
2018,IL12,BRENDAN KELLY,DEMOCRAT,118724
2018,IL12,MIKE BOST,REPUBLICAN,134884
2018,IL12,RANDY AUXIER,GREEN,7935
2018,IL13,BETSY DIRKSEN LONDRIGAN,DEMOCRAT,134458
2018,IL13,RODNEY DAVIS,REPUBLICAN,136516
2018,IL13,WRITEIN,,7
2018,IL14,LAUREN UNDERWOOD,DEMOCRAT,156035
2018,IL14,"RANDALL M ""RANDY"" HULTGREN",REPUBLICAN,141164
2018,IL15,JOHN M SHIMKUS,REPUBLICAN,181294
2018,IL15,KEVIN GAITHER,DEMOCRAT,74309
2018,IL15,WRITEIN,,5
2018,IL16,ADAM KINZINGER,REPUBLICAN,151254
2018,IL16,SARA DADY,DEMOCRAT,104569
2018,IL16,WRITEIN,,2
2018,IL17,CHERI BUSTOS,DEMOCRAT,142659
2018,IL17,"WILLIAM W ""BILL"" FAWELL",REPUBLICAN,87090
2018,IL18,DARIN LAHOOD,REPUBLICAN,195927
2018,IL18,JUNIUS RODRIGUEZ,DEMOCRAT,95486
2018,IN01,MARK LEYVA,REPUBLICAN,85594
2018,IN01,PETER J VISCLOSKY,DEMOCRAT,159611
2018,IN01,WRITEIN,,4
2018,IN02,JACKIE WALORSKI,REPUBLICAN,125499
2018,IN02,MEL HALL,DEMOCRAT,103363
2018,IN02,WRITEIN,,27
2018,IN03,COURTNEY TRITCH,DEMOCRAT,86610
2018,IN03,JIM BANKS,REPUBLICAN,158927
2018,IN04,JIM BAIRD,REPUBLICAN,156539
2018,IN04,TOBI BECK,DEMOCRAT,87824
2018,IN05,DEE THORNTON,DEMOCRAT,137142
2018,IN05,SUSAN W BROOKS,REPUBLICAN,180035
2018,IN06,GREG PENCE,REPUBLICAN,154260
2018,IN06,JEANNINE LEE LAKE,DEMOCRAT,79430
2018,IN06,TOM FERKINHOFF,LIBERTARIAN,8030
2018,IN06,WRITEIN,,6
2018,IN07,ANDRE D CARSON,DEMOCRAT,141139
2018,IN07,"WAYNE ""GUNNY"" HARMON",REPUBLICAN,76457
2018,IN08,LARRY D BUCSHON,REPUBLICAN,157396
2018,IN08,WILLIAM TANOOS,DEMOCRAT,86895
2018,IN09,LIZ WATSON,DEMOCRAT,118090
2018,IN09,TREY HOLLINGSWORTH,REPUBLICAN,153271
2018,IA01,ABBY FINKENAUER,DEMOCRAT,170342
2018,IA01,ROD BLUM,REPUBLICAN,153442
2018,IA01,TROY HAGEMAN,LIBERTARIAN,10285
2018,IA01,WRITEIN,,174
2018,IA02,CHRISTOPHER PETERS,REPUBLICAN,133287
2018,IA02,DANIEL CLARK,INDEPENDENT,1837
2018,IA02,DAVE LOEBSACK,DEMOCRAT,171446
2018,IA02,MARK DAVID STRAUSS,LIBERTARIAN,6181
2018,IA02,WRITEIN,,162
2018,IA03,BRYAN JACK HOLDER,LIBERTARIAN,7267
2018,IA03,CINDY AXNE,DEMOCRAT,175642
2018,IA03,DAVID YOUNG,REPUBLICAN,167933
2018,IA03,JOE GRANDANETTE,INDEPENDENT,1301
2018,IA03,MARK ELWORTH JR,LEGAL MEDICAL NOW,2015
2018,IA03,PAUL KNUPP,GREEN,1888
2018,IA03,WRITEIN,,195
2018,IA04,CHARLES ALDRICH,LIBERTARIAN,6161
2018,IA04,EDWARD PETERSON,INDEPENDENT,1962
2018,IA04,JD SCHOLTEN,DEMOCRAT,147246
2018,IA04,STEVE KING,REPUBLICAN,157676
2018,IA04,WRITEIN,,206
2018,KS01,ALAN LAPOLICE,DEMOCRAT,71558
2018,KS01,ROGER MARSHALL,REPUBLICAN,153082
2018,KS02,KELLY STANDLEY,LIBERTARIAN,14731
2018,KS02,PAUL DAVIS,DEMOCRAT,123859
2018,KS02,STEVE WATKINS,REPUBLICAN,126098
2018,KS03,CHRIS CLEMMONS,LIBERTARIAN,8021
2018,KS03,KEVIN YODER,REPUBLICAN,139762
2018,KS03,SHARICE DAVIDS,DEMOCRAT,170518
2018,KS04,JAMES A THOMPSON,DEMOCRAT,98445
2018,KS04,RON ESTES,REPUBLICAN,144248
2018,KY01,JAMES R COMER,REPUBLICAN,172167
2018,KY01,PAUL WALKER,DEMOCRAT,78849
2018,KY02,HANK LINDERMAN,DEMOCRAT,79964
2018,KY02,S BRETT GUTHRIE,REPUBLICAN,171700
2018,KY02,THOMAS A LOECKEN,INDEPENDENT,5681
2018,KY03,GREGORY BOLES,LIBERTARIAN,3788
2018,KY03,JOHN A YARMUTH,DEMOCRAT,173002
2018,KY03,VICKIE YATES B GLISSON,REPUBLICAN,101930
2018,KY04,MIKE MOFFETT,INDEPENDENT,8318
2018,KY04,SETH HALL,DEMOCRAT,90536
2018,KY04,THOMAS MASSIE,REPUBLICAN,162946
2018,KY04,WRITEIN,,12
2018,KY05,"HAROLD ""HAL"" ROGERS",REPUBLICAN,172093
2018,KY05,KENNETH S STEPP,DEMOCRAT,45890
2018,KY05,WRITEIN,,34
2018,KY06,AMY MCGRATH,DEMOCRAT,144736
2018,KY06,ANDY BARR,REPUBLICAN,154468
2018,KY06,FRANK HARRIS,LIBERTARIAN,2150
2018,KY06,JAMES GERMALIC,INDEPENDENT,523
2018,KY06,RIKKA L WALLIN,INDEPENDENT,1011
2018,LA01,"""JIM"" FRANCIS",DEMOCRAT,8688
2018,LA01,"FREDERICK ""FERD"" JONES",INDEPENDENT,2443
2018,LA01,HOWARD KEARNEY,LIBERTARIAN,2806
2018,LA01,LEE ANN DUGAS,DEMOCRAT,18560
2018,LA01,STEVE SCALISE,REPUBLICAN,192555
2018,LA01,TAMMY M SAVOIE,DEMOCRAT,44273
2018,LA02,"BELDEN ""NOONIE MAN"" BATISTE",INDEPENDENT,17260
2018,LA02,CEDRIC RICHMOND,DEMOCRAT,190182
2018,LA02,JESSE SCHMIDT,NO PARTY,20465
2018,LA02,SHAWNDRA RODRIGUEZ,NO PARTY,8075
2018,LA03,"""JOSH"" GUILLORY",REPUBLICAN,31387
2018,LA03,"""ROB"" ANDERSON",DEMOCRAT,13477
2018,LA03,AARON J ANDRUS,LIBERTARIAN,2967
2018,LA03,CLAY HIGGINS,REPUBLICAN,136876
2018,LA03,LARRY RADER,DEMOCRAT,9692
2018,LA03,"MILDRED ""MIMI"" METHVIN",DEMOCRAT,43729
2018,LA03,VERONE THOMAS,DEMOCRAT,7815
2018,LA04,"""MIKE"" JOHNSON",REPUBLICAN,139326
2018,LA04,MARK DAVID HALVERSON,NO PARTY,4612
2018,LA04,RYAN TRUNDLE,DEMOCRAT,72934
2018,LA05,BILLY BURKETTE,INDEPENDENT,4799
2018,LA05,JESSEE CARLTON FLEENOR,DEMOCRAT,67118
2018,LA05,KYLE RANDOL,LIBERTARIAN,3011
2018,LA05,RALPH ABRAHAM,REPUBLICAN,149018
2018,LA06,"""ANDIE"" SAIZAN",DEMOCRAT,21627
2018,LA06,DEVIN LANCE GRAHAM,INDEPENDENT,5256
2018,LA06,GARRET GRAVES,REPUBLICAN,186553
2018,LA06,JUSTIN DEWITT,DEMOCRAT,55089
2018,ME01,CHELLIE PINGREE,DEMOCRAT,201195
2018,ME01,MARK I HOLBROOK,REPUBLICAN,111188
2018,ME01,MARTIN J GROHMAN,INDEPENDENT,29670
2018,ME02,BRUCE POLIQUIN,REPUBLICAN,136326
2018,ME02,JARED F GOLDEN,DEMOCRAT,139231
2018,MD01,ANDY HARRIS,REPUBLICAN,183662
